k_nummer;b_nummer;bestelldatum;woche;produkt
k001;b001;2022-01-04 07:16;2022 KW 01;2mmar
k002;b002;2022-01-09 16:25;2022 KW 01;1jsta
k003;b003;2022-01-10 22:49;2022 KW 01;2mmar
k004;b004;2022-01-14 09:52;2022 KW 02;3msta
k005;b005;2022-01-17 20:03;2022 KW 02;1jsta
k006;b006;2022-01-19 12:22;2022 KW 03;1jstu
k007;b007;2022-01-22 17:06;2022 KW 03;1jsta
k008;b008;2022-01-24 06:38;2022 KW 03;3msta
k009;b009;2022-01-29 23:20;2022 KW 04;2mmar
k010;b010;2022-02-03 08:51;2022 KW 05;1jsta
k011;b011;2022-02-08 01:23;2022 KW 06;6mvip
k012;b012;2022-02-10 16:59;2022 KW 06;2mmar
k013;b013;2022-02-11 21:32;2022 KW 06;2mmar
k014;b014;2022-02-16 19:08;2022 KW 07;1jsta
k015;b015;2022-02-17 15:34;2022 KW 07;3msta
k016;b016;2022-02-24 05:15;2022 KW 08;2mmar
k017;b017;2022-02-27 07:04;2022 KW 08;3msta
k018;b018;2022-02-29 12:56;2022 KW 09;1jsta
k019;b019;2022-03-03 18:30;2022 KW 09;1jsta
k020;b020;2022-03-05 04:05;2022 KW 09;3msta
k021;b021;2022-03-11 13:33;2022 KW 10;3msta
k022;b022;2022-03-14 22:41;2022 KW 11;1jstu
k023;b023;2022-03-19 08:12;2022 KW 11;2mmar
k024;b024;2022-03-22 16:26;2022 KW 12;1jsta
k025;b025;2022-03-25 10:40;2022 KW 12;3msta
k026;b026;2022-03-30 15:43;2022 KW 13;2mmar
k027;b027;2022-03-31 08:01;2022 KW 13;3msta
k028;b028;2022-04-05 07:11;2022 KW 14;3msta
k029;b029;2022-04-09 20:57;2022 KW 14;1jsta
k030;b030;2022-04-10 11:54;2022 KW 14;2mmar
k031;b031;2022-04-14 09:14;2022 KW 15;1jsta
k032;b032;2022-04-19 12:06;2022 KW 16;6mvip
k033;b033;2022-04-19 23:51;2022 KW 16;1jsta
k034;b034;2022-04-24 22:48;2022 KW 16;1jstu
k035;b035;2022-04-26 05:19;2022 KW 17;3msta
k036;b036;2022-05-01 13:27;2022 KW 17;2mmar
k037;b037;2022-05-02 07:02;2022 KW 18;1jsta
k038;b038;2022-05-04 15:35;2022 KW 18;1jsta
k039;b039;2022-05-10 07:49;2022 KW 19;1jsta
k040;b040;2022-05-12 16:01;2022 KW 19;3msta
k041;b041;2022-05-16 15:44;2022 KW 20;2mmar
k042;b042;2022-05-17 23:40;2022 KW 20;1jsta
k043;b043;2022-05-21 12:25;2022 KW 20;3msta
k044;b044;2022-05-23 11:31;2022 KW 21;1jsta
k045;b045;2022-06-02 05:15;2022 KW 22;2mmar
k046;b046;2022-06-12 16:39;2022 KW 23;1jstu
k047;b047;2022-06-16 10:44;2022 KW 24;1jsta
k048;b048;2022-06-16 17:20;2022 KW 24;2mmar
k049;b049;2022-06-22 14:07;2022 KW 25;1jstu
k050;b050;2022-06-30 20:04;2022 KW 26;1jsta
k051;b051;2022-07-08 15:22;2022 KW 27;2mmar
k052;b052;2022-07-12 15:46;2022 KW 28;1jsta
k053;b053;2022-07-18 10:17;2022 KW 29;1jsta
k054;b054;2022-07-26 19:38;2022 KW 30;3msta
k055;b055;2022-08-01 00:43;2022 KW 31;1jsta
k056;b056;2022-08-03 18:07;2022 KW 31;1jsta
