zeitraum;nutzer;sitzungen;seitenaufrufe;nutzung_desktop;nutzung_smartphone;nutzung_tablet
2021-01-01;12307;19058;49892;71;15;14
2021-02-01;16031;25840;58450;61;22;17
2021-03-01;13548;23501;48669;70;17;13
2021-04-01;12644;21724;43101;68;20;12
2021-05-01;16183;26319;50202;70;19;11
2021-06-01;17511;27772;51070;70;19;11
2021-07-01;42072;57257;88994;61;26;13
2021-08-01;42492;55102;87513;67;22;11
2021-09-01;49188;61297;95264;61;28;11
2021-10-01;81238;106919;156419;55;35;10
2021-11-01;83778;101441;151813;48;42;10
2021-12-01;82036;98772;141667;40;50;10
2022-01-01;116546;155006;211180;38;52;10
2022-02-01;136665;166215;229741;38;52;10
2022-03-01;110030;134635;185365;41;49;10
2022-04-01;111508;137575;209863;42;48;10
2022-05-01;117756;141390;200065;38;52;10
2022-06-01;192821;229468;299227;33;56;11
2022-07-01;124642;152546;204288;34;55;11
2022-08-01;130337;157422;211772;39;51;10
2022-09-01;135859;163790;216438;43;48;9
2022-10-01;107783;131029;185503;41;48;11
2022-11-01;140517;166624;225051;36;53;11
2022-12-01;186207;223343;297146;43;42;15
2023-01-01;235983;281394;363928;49;33;18
2023-02-01;245015;289753;372963;47;37;16
2023-03-01;232510;277922;360456;44;38;18
2023-04-01;227874;271954;345757;41;39;20
2023-05-01;241543;286281;369490;40;37;23
